Date,Name,Year,Letterboxd URI
2024-08-06,Gone Girl,2014,https://boxd.it/6hQu
2024-08-06,"Girl, Interrupted",1999,https://boxd.it/25ds
2024-08-06,All About Lily Chou-Chou,2001,https://boxd.it/1JP0
2024-08-06,Juno,2007,https://boxd.it/210a
2024-08-06,The Virgin Suicides,1999,https://boxd.it/28JG
2024-08-06,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2024-08-06,Children of Men,2006,https://boxd.it/1Y2i
2024-08-06,Gladiator,2000,https://boxd.it/2b9m
2024-08-06,Citizen Kane,1941,https://boxd.it/71O
2024-08-06,Vivah,2006,https://boxd.it/1g1A
2024-08-06,Masaan,2015,https://boxd.it/b6x2
2024-08-06,I Saw the TV Glow,2024,https://boxd.it/woVe
2024-08-06,Gulmohar,2023,https://boxd.it/AOKk
2024-08-06,Midsommar,2019,https://boxd.it/jhxe
2024-08-06,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu
2024-08-06,The Human Centipede 2 (Full Sequence),2011,https://boxd.it/2yqg
2024-08-06,The Human Centipede 3 (Final Sequence),2015,https://boxd.it/3hRc
2024-08-06,Requiem for a Dream,2000,https://boxd.it/29VI
2024-08-06,A Serbian Film,2010,https://boxd.it/2wBc
2024-08-06,Por Thozhil,2023,https://boxd.it/GbJE
2024-08-06,The Edge of Heaven,2007,https://boxd.it/27D8
2024-08-06,The Golden Glove,2019,https://boxd.it/ih9k
2024-08-06,In the Fade,2017,https://boxd.it/eZpS
2024-08-06,Raja Raja Chora,2021,https://boxd.it/udD0
2024-08-06,Manu,2018,https://boxd.it/jWL2
2024-08-06,Sinister 2,2015,https://boxd.it/8L58
2024-12-26,Pather Panchali,1955,https://boxd.it/22yC
2025-02-17,Tale of Tales,1979,https://boxd.it/1boa
2025-02-17,Nadiya Ke Paar,1982,https://boxd.it/9LwU
2025-02-17,The Holdovers,2023,https://boxd.it/vHza
2025-02-17,Deep Sea,2023,https://boxd.it/oRIs
2025-02-17,Pear Cider and Cigarettes,2016,https://boxd.it/eio8
2025-02-17,Who Killed Captain Alex?,2010,https://boxd.it/adJ8
2025-02-17,American History X,1998,https://boxd.it/2bdo
2025-02-17,The Boy and the Heron,2023,https://boxd.it/ipeM
2025-02-17,Joji,2021,https://boxd.it/tMgS
2025-02-17,Apur Sansar,1959,https://boxd.it/29l6
2025-02-17,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-02-17,Ashes of Time,1994,https://boxd.it/111K
2025-02-17,Pi,1998,https://boxd.it/2ajq
2025-02-17,Reservoir Dogs,1992,https://boxd.it/2agc
2025-02-17,No Country for Old Men,2007,https://boxd.it/21ew
2025-03-07,Minamata,2020,https://boxd.it/kvrm
2025-04-20,Israel and Gaza: Into the Abyss,2024,https://boxd.it/Qgwq
2025-04-21,Big Fish,2003,https://boxd.it/2a3M
2025-04-21,Arabesques on the Pirosmani Theme,1985,https://boxd.it/b4sa
2025-04-21,The Color of Pomegranates,1969,https://boxd.it/1u94
2025-04-21,Kyiv Frescoes,1966,https://boxd.it/4RHO
2025-06-05,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-06,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2025-06-10,Immortal Beloved,1994,https://boxd.it/1PAU
2025-06-10,Mr. Turner,2014,https://boxd.it/7dlY
2025-06-10,Pollock,2000,https://boxd.it/1RPC
2025-06-10,A Nos Amours,1983,https://boxd.it/271I
2025-06-10,What Happened Was...,1994,https://boxd.it/2WAk
2025-06-10,La Belle Noiseuse,1991,https://boxd.it/1RxI
2025-06-10,Gowok: Javanese Kamasutra,2025,https://boxd.it/QG7w
2025-06-10,Serpentine Dance,1897,https://boxd.it/54si
2025-06-20,Pretty Woman,1990,https://boxd.it/2b6M
2025-06-20,Tangerine,2015,https://boxd.it/9QRe
2025-06-23,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-06-23,Where the Truth Lies,2005,https://boxd.it/1XWY
